decode_id,participant,session,action_start_time_s,action_end_time_s,time_in_action_s,data_received_time_s,new_chunk_shape,data_shape,preprocess_time_ms,decode_time_ms,total_pipeline_time_ms,decode_result,confidence,should_stim,stim_submit_ok,command_sent,command_content,stim_error
94,121958,001,55.026235,65.033646,0.616943,55.512558,"(128, 200)","(128, 10000)",28.996,92.262,121.258,0,0.99984117228508,1,1,1,stim_target_0_500ms,
95,121958,001,55.026235,65.033646,0.85061,55.743431,"(128, 200)","(128, 10000)",32.003,91.408,123.411,0,0.9998477988472515,1,0,0,stim_target_0_500ms,stim_is_busy
96,121958,001,55.026235,65.033646,1.051345,55.944151,"(128, 128)","(128, 10000)",34.409,92.852,127.261,0,0.9998719473626952,1,0,0,stim_target_0_500ms,stim_is_busy
97,121958,001,55.026235,65.033646,1.284052,56.176856,"(128, 200)","(128, 10000)",32.251,89.543,121.794,0,0.9998530725121627,1,0,0,stim_target_0_500ms,stim_is_busy
98,121958,001,55.026235,65.033646,1.484147,56.376972,"(128, 200)","(128, 10000)",35.442,91.154,126.596,0,0.9998885424862066,1,0,0,stim_target_0_500ms,stim_is_busy
99,121958,001,55.026235,65.033646,1.751482,56.578989,"(128, 128)","(128, 10000)",33.49,150.38,183.87,0,0.9998431360347855,1,1,1,stim_target_0_500ms,
100,121958,001,55.026235,65.033646,2.051427,56.79719,"(128, 128)","(128, 10000)",63.156,196.716,259.872,0,0.9998619208717986,1,0,0,stim_target_0_500ms,stim_is_busy
101,121958,001,55.026235,65.033646,2.284866,57.127672,"(128, 200)","(128, 10000)",52.034,121.039,173.073,0,0.9996029182370086,1,0,0,stim_target_0_500ms,stim_is_busy
102,121958,001,55.026235,65.033646,2.451649,57.327714,"(128, 128)","(128, 10000)",38.619,103.644,142.263,0,0.9997213601455763,1,0,0,stim_target_0_500ms,stim_is_busy
103,121958,001,55.026235,65.033646,2.651765,57.527912,"(128, 200)","(128, 10000)",36.379,102.541,138.92,0,0.9996598276839652,1,0,0,stim_target_0_500ms,stim_is_busy
104,121958,001,55.026235,65.033646,2.854891,57.728081,"(128, 200)","(128, 10000)",34.988,100.834,135.822,0,0.9996921987289042,1,1,1,stim_target_0_500ms,
105,121958,001,55.026235,65.033646,3.052147,57.944876,"(128, 200)","(128, 10000)",32.473,93.614,126.087,0,0.9998821789362161,1,0,0,stim_target_0_500ms,stim_is_busy
106,121958,001,55.026235,65.033646,3.269232,58.161681,"(128, 200)","(128, 10000)",34.861,95.377,130.238,0,0.9997225387820031,1,0,0,stim_target_0_500ms,stim_is_busy
107,121958,001,55.026235,65.033646,3.46906,58.361847,"(128, 200)","(128, 10000)",33.186,89.581,122.767,0,0.9997592959133587,1,0,0,stim_target_0_500ms,stim_is_busy
108,121958,001,55.026235,65.033646,3.669386,58.563708,"(128, 128)","(128, 10000)",31.667,93.099,124.766,0,0.9997906566242701,1,0,0,stim_target_0_500ms,stim_is_busy
