decode_id,participant,session,action_start_time_s,action_end_time_s,time_in_action_s,data_received_time_s,new_chunk_shape,data_shape,preprocess_time_ms,decode_time_ms,total_pipeline_time_ms,decode_result,confidence,should_stim,stim_submit_ok,command_sent,command_content,stim_error
139,121958,001,79.044888,89.051991,0.633413,79.541056,"(128, 200)","(128, 10000)",32.016,92.52,124.536,0,0.9999711824852542,1,1,1,stim_target_0_500ms,
140,121958,001,79.044888,89.051991,0.833569,79.745078,"(128, 200)","(128, 10000)",34.448,92.152,126.6,0,0.9999725383370303,1,0,0,stim_target_0_500ms,stim_is_busy
141,121958,001,79.044888,89.051991,1.050195,79.961685,"(128, 200)","(128, 10000)",31.494,92.602,124.096,0,0.9999776650400889,1,0,0,stim_target_0_500ms,stim_is_busy
142,121958,001,79.044888,89.051991,1.250356,80.161858,"(128, 200)","(128, 10000)",31.149,98.961,130.11,0,0.9999762308362233,1,0,0,stim_target_0_500ms,stim_is_busy
143,121958,001,79.044888,89.051991,1.450558,80.361938,"(128, 200)","(128, 10000)",31.829,89.382,121.211,0,0.9999682787623335,1,0,0,stim_target_0_500ms,stim_is_busy
144,121958,001,79.044888,89.051991,1.667447,80.578831,"(128, 200)","(128, 10000)",31.534,90.349,121.883,0,0.9999772589717867,1,1,1,stim_target_0_500ms,
145,121958,001,79.044888,89.051991,1.867619,80.778939,"(128, 200)","(128, 10000)",33.956,94.194,128.15,0,0.9999626357932162,1,0,0,stim_target_0_500ms,stim_is_busy
146,121958,001,79.044888,89.051991,2.067742,80.979202,"(128, 128)","(128, 10000)",31.976,95.96,127.936,0,0.9999550742004322,1,0,0,stim_target_0_500ms,stim_is_busy
147,121958,001,79.044888,89.051991,2.267776,81.179231,"(128, 128)","(128, 10000)",31.316,93.223,124.539,0,0.999965429767073,1,0,0,stim_target_0_500ms,stim_is_busy
148,121958,001,79.044888,89.051991,2.467957,81.379425,"(128, 200)","(128, 10000)",31.216,91.282,122.498,0,0.9999494353415745,1,0,0,stim_target_0_500ms,stim_is_busy
