decode_id,participant,session,action_start_time_s,action_end_time_s,time_in_action_s,data_received_time_s,new_chunk_shape,data_shape,preprocess_time_ms,decode_time_ms,total_pipeline_time_ms,decode_result,confidence,should_stim,stim_submit_ok,command_sent,command_content,stim_error
1,121958,001,14.027081,24.002869,0.452068,14.331225,"(128, 200)","(128, 10000)",29.574,88.594,118.168,0,0.9999069479310436,1,1,1,stim_target_0_500ms,
2,121958,001,14.027081,24.002869,0.66787,14.568766,"(128, 200)","(128, 10000)",31.11,87.038,118.148,0,0.9999387576183683,1,0,0,stim_target_0_500ms,stim_is_busy
3,121958,001,14.027081,24.002869,0.901441,14.795077,"(128, 128)","(128, 10000)",32.554,89.896,122.45,0,0.9999255599161554,1,0,0,stim_target_0_500ms,stim_is_busy
4,121958,001,14.027081,24.002869,1.101596,14.995243,"(128, 200)","(128, 10000)",32.097,88.69,120.787,0,0.999931093388791,1,0,0,stim_target_0_500ms,stim_is_busy
5,121958,001,14.027081,24.002869,1.30182,15.195442,"(128, 128)","(128, 10000)",30.793,92.018,122.811,0,0.9999257807933882,1,0,0,stim_target_0_500ms,stim_is_busy
6,121958,001,14.027081,24.002869,1.518507,15.412117,"(128, 200)","(128, 10000)",32.013,88.054,120.067,0,0.9999417475948503,1,1,1,stim_target_0_500ms,
7,121958,001,14.027081,24.002869,1.735488,15.629189,"(128, 200)","(128, 10000)",30.594,92.32,122.914,0,0.9999289260029548,1,0,0,stim_target_0_500ms,stim_is_busy
8,121958,001,14.027081,24.002869,1.952171,15.845845,"(128, 200)","(128, 10000)",32.605,94.695,127.3,0,0.9999571999339754,1,0,0,stim_target_0_500ms,stim_is_busy
9,121958,001,14.027081,24.002869,2.152476,16.04603,"(128, 200)","(128, 10000)",31.554,88.283,119.837,0,0.9999541430660515,1,0,0,stim_target_0_500ms,stim_is_busy
10,121958,001,14.027081,24.002869,2.369309,16.263152,"(128, 200)","(128, 10000)",31.123,90.825,121.948,0,0.9999463650221002,1,0,0,stim_target_0_500ms,stim_is_busy
11,121958,001,14.027081,24.002869,2.602916,16.496348,"(128, 200)","(128, 10000)",31.946,90.877,122.823,0,0.9999454789302715,1,1,1,stim_target_0_500ms,
12,121958,001,14.027081,24.002869,2.802883,16.696639,"(128, 200)","(128, 10000)",31.148,97.146,128.294,0,0.9999531603328664,1,0,0,stim_target_0_500ms,stim_is_busy
13,121958,001,14.027081,24.002869,2.986802,16.896902,"(128, 200)","(128, 10000)",30.314,86.474,116.788,0,0.9999506338491052,1,0,0,stim_target_0_500ms,stim_is_busy
14,121958,001,14.027081,24.002869,3.136878,17.013883,"(128, 200)","(128, 10000)",34.858,98.499,133.357,0,0.999933416307541,1,0,0,stim_target_0_500ms,stim_is_busy
15,121958,001,14.027081,24.002869,3.336906,17.230453,"(128, 200)","(128, 10000)",30.694,91.065,121.759,0,0.9999397817584261,1,0,0,stim_target_0_500ms,stim_is_busy
16,121958,001,14.027081,24.002869,3.536987,17.4306,"(128, 200)","(128, 10000)",31.452,87.747,119.199,0,0.999951248869936,1,0,0,stim_target_0_500ms,stim_is_busy
17,121958,001,14.027081,24.002869,3.737125,17.630837,"(128, 200)","(128, 10000)",30.892,90.797,121.689,0,0.9999621036312112,1,1,1,stim_target_0_500ms,
18,121958,001,14.027081,24.002869,3.954068,17.847621,"(128, 200)","(128, 10000)",32.534,89.83,122.364,0,0.9999475615272597,1,0,0,stim_target_0_500ms,stim_is_busy
19,121958,001,14.027081,24.002869,4.154078,18.047824,"(128, 128)","(128, 10000)",32.14,91.613,123.753,0,0.9999251552437476,1,0,0,stim_target_0_500ms,stim_is_busy
20,121958,001,14.027081,24.002869,4.370893,18.264578,"(128, 200)","(128, 10000)",30.905,87.783,118.688,0,0.9999388139542051,1,0,0,stim_target_0_500ms,stim_is_busy
21,121958,001,14.027081,24.002869,4.571062,18.464773,"(128, 200)","(128, 10000)",31.874,89.891,121.765,0,0.9999021394261615,1,0,0,stim_target_0_500ms,stim_is_busy
22,121958,001,14.027081,24.002869,4.771196,18.664873,"(128, 200)","(128, 10000)",31.971,87.52,119.491,0,0.9999205572521936,1,1,1,stim_target_0_500ms,
23,121958,001,14.027081,24.002869,4.97152,18.865106,"(128, 200)","(128, 10000)",34.842,84.465,119.307,0,0.9999321054487045,1,0,0,stim_target_0_500ms,stim_is_busy
24,121958,001,14.027081,24.002869,5.17168,19.065246,"(128, 200)","(128, 10000)",30.703,86.607,117.31,0,0.9999317001744286,1,0,0,stim_target_0_500ms,stim_is_busy
25,121958,001,14.027081,24.002869,5.388356,19.282024,"(128, 200)","(128, 10000)",31.408,88.988,120.396,0,0.999934098772341,1,0,0,stim_target_0_500ms,stim_is_busy
26,121958,001,14.027081,24.002869,5.605266,19.498907,"(128, 200)","(128, 10000)",32.558,91.612,124.17,0,0.999911083394396,1,0,0,stim_target_0_500ms,stim_is_busy
